#{"t_start": 1758364263.4824493, "env_id": "gymnasium_env/TowerDefenseWorld-v0"}
r,l,t
-177.0,687,1910.99517
-231.0,530,1912.776905
-188.0,688,1933.624019
-182.0,676,1938.655286
-183.0,699,1940.887047
-193.0,541,1942.53009
-184.0,688,1945.922925
-162.0,1201,1950.530336
-180.0,687,1953.913491
-184.0,676,1956.049581
-191.0,541,1957.66819
-183.0,676,1961.006682
-185.0,689,1963.202005
-162.0,844,1966.061636
-161.0,844,1970.105858
-125.0,1200,1975.154427
-180.0,676,1978.524812
-178.0,687,1980.711403
-187.0,677,1982.858842
-167.0,698,1986.300642
-177.0,687,1988.499779
-176.0,698,1990.725662
-176.0,742,1994.328602
-182.0,676,1996.466338
-104.0,1614,2004.809713
-181.0,699,2007.052053
-182.0,676,2010.39244
-167.0,698,2012.620354
-195.0,542,2014.252257
-168.0,740,2016.658462
-183.0,699,2020.091656
-133.0,1201,2024.702541
-169.0,741,2028.31021
-205.0,740,2030.883224
-177.0,688,2033.258111
-187.0,688,2036.650455
-230.0,530,2038.230124
-176.0,687,2040.419216
-165.0,740,2044.029409
-178.0,687,2046.21922
-175.0,858,2050.345358
-119.0,1200,2054.954802
-166.0,740,2057.349236
-175.0,698,2060.788004
-171.0,687,2062.994442
-180.0,687,2065.182614
-173.0,687,2068.554833
-180.0,687,2070.74504
-173.0,698,2072.978564
-167.0,698,2076.411595
-166.0,856,2079.318804
-170.0,740,2082.920534
-122.0,1615,2090.015803
-181.0,676,2093.790829
-177.0,687,2096.045225
-180.0,699,2098.298465
-166.0,943,2102.819769
-164.0,846,2105.694762
-119.0,1413,2112.722924
-166.0,834,2115.536757
-192.0,541,2118.375612
-169.0,698,2120.603121
-191.0,541,2122.248008
-174.0,698,2125.679726
-173.0,741,2128.089956
-200.0,855,2131.002679
-186.0,743,2134.611694
-180.0,676,2136.743279
-178.0,1201,2142.582097
-180.0,687,2144.778484
-170.0,845,2147.64686
-179.0,688,2151.046928
-182.0,742,2153.789482
-176.0,741,2156.215867
-182.0,687,2159.61289
-179.0,700,2161.852724
-176.0,741,2164.257711
-179.0,676,2167.594721
-179.0,676,2188.098716
-177.0,687,2191.939622
-181.0,687,2195.345351
-203.0,931,2198.605787
-68.0,2093,2210.281426
-132.0,1202,2216.483841
-180.0,676,2218.627188
-187.0,677,2221.959404
-195.0,691,2224.161016
-163.0,855,2227.064957
-196.0,542,2229.882381
-160.0,844,2232.723551
-94.0,1613,2241.009853
-167.0,740,2243.437589
-172.0,729,2245.803319
-172.0,698,2249.227842
-176.0,740,2251.628162
-135.0,1201,2257.468121
-174.0,698,2259.691606
-174.0,687,2261.870311
-192.0,541,2264.683538
-187.0,677,2266.82433
-184.0,676,2268.95518
